cik,company_name,ticker
1308027,Vystar Corp,vyst
874495,JEFFERSONVILLE BANCORP,JFBC
1024732,IGATE CORP,IGTE
1006655,EVOLUTION PETROLEUM CORP,EPM
1339048,"Western Refining, Inc.",WNR
1137861,WRIGHT MEDICAL GROUP INC,WMGI
16918,"CONSTELLATION BRANDS, INC.",STZ/STZ.B
1008586,STREAMLINE HEALTH SOLUTIONS INC.,STRM
922621,ERIE INDEMNITY CO,ERIE
1137239,AMERICAS ENERGY Co - AECO,AENY
1408287,Zep Inc.,ZEP
6885,STAGE STORES INC,SSI
1108524,SALESFORCE COM INC,CRM
849240,HAWK CORP,HWK
1117106,NETSUITE INC,N
277595,ENERGEN CORP,EGN
1160858,TRUE RELIGION APPAREL INC,TRLG
1156375,CME GROUP INC.,CME
47217,HEWLETT PACKARD CO,HPQ
1378020,Beneficial Mutual Bancorp Inc,BNCL
1172139,BILL BARRETT CORP,BBG
1011452,MEDICAL INFORMATION TECHNOLOGY INC,
1048268,INTEGRATED ELECTRICAL SERVICES INC,IESC
1138951,LEAPFROG ENTERPRISES INC,LF
897077,ALAMO GROUP INC,ALG
38188,FORT DEARBORN INCOME SECURITIES INC,FDI
54381,KAMAN CORP,KAMN
1409375,"ORION ENERGY SYSTEMS, INC.",OESX
1168195,SOURCEFIRE INC,FIRE
1302177,"POKERTEK, INC.",PTEK
920321,"CENVEO, INC",CVO
845818,RADIANT SYSTEMS INC,RADS
840489,FIRST CASH FINANCIAL SERVICES INC,FCFS
826683,"Merriman Curhan Ford Group, Inc.",MERR
919722,SUPERGEN INC,SUPG
74046,OIL DRI CORP OF AMERICA,ODC
808450,NAVISTAR INTERNATIONAL CORP,NAV
60751,LUBRIZOL CORP,LZ
75362,PACCAR INC,PCAR
1002047,"NetApp, Inc.",NTAP
1048911,FEDEX CORP,FDX
354908,FLIR SYSTEMS INC,FLIR
1466258,Ingersoll-Rand plc,IR
1373980,"Heelys, Inc.",HLYS
768835,BIG LOTS INC,BIG
1289419,"Morningstar, Inc.",MORN
1364856,"Monarch Financial Holdings, Inc.",MNRK
78239,PHILLIPS VAN HEUSEN CORP /DE/,PVH
1158324,COGENT COMMUNICATIONS GROUP INC,CCOI
912595,MID AMERICA APARTMENT COMMUNITIES INC,MAA
1047170,EASTERN VIRGINIA BANKSHARES INC,EVBS
1227930,ENTROPIC COMMUNICATIONS INC,ENTR
750686,CAMDEN NATIONAL CORP,CAC
1018215,WELLS REAL ESTATE FUND X L P,
907654,"ARCA biopharma, Inc.",ABIO
1303849,"Avantair, Inc",AAIR.OB
916863,"INTEGRYS ENERGY GROUP, INC.",TEG
1076394,CENTRAL BANCORP INC /MA/,CEBK
723125,MICRON TECHNOLOGY INC,MU
1263762,NEW CENTURY BANCORP INC,NCBC
1350102,"Ascent Solar Technologies, Inc.",ASTI
25445,CRANE CO /DE/,CR
921051,TF FINANCIAL CORP,THRD
1018216,WELLS REAL ESTATE FUND XI L P,
60849,LUFKIN INDUSTRIES INC,LUFK
750199,ENERGY PARTNERS LTD,EPL
737758,TORO CO,TTC
1082554,UNITED THERAPEUTICS Corp,UTHR
749660,ICAD INC,icad
1285819,OMEROS CORP,OMER
822083,PLAINSCAPITAL CORP,NONE
1125914,OPENTABLE INC,OPEN
7039,ARABIAN AMERICAN DEVELOPMENT CO,ARSD
1060009,"KINDRED HEALTHCARE, INC",KND
34151,JO-ANN STORES INC,JAS
1328790,CHINA MEDICINE CORP,CHME
863894,FEMALE HEALTH CO,FHCO
929921,WELLS REAL ESTATE FUND IX LP,
1373485,Doral Energy Corp.,DRLY
916459,GARDNER DENVER INC,GDI
1381639,Mayflower Bancorp Inc,MFLR
815353,EMERALD DAIRY INC,EMDY.OB
703604,LAWSON PRODUCTS INC/NEW/DE/,LAWS
909832,COSTCO WHOLESALE CORP /NEW,COST
941548,CAMERON INTERNATIONAL CORP,CAM
29669,RR Donnelley & Sons Co,RRD
1356104,"Mellanox Technologies, Ltd.",MLNX
1305399,"First Business Financial Services, Inc.",FBIZ
1286181,U S PRECIOUS METALS INC,USPR
913957,AMREIT,AMREIT
711034,THUNDER MOUNTAIN GOLD INC,THMG
1017303,TRANSACT TECHNOLOGIES INC,TACT
913144,RENAISSANCERE HOLDINGS LTD,RNR
1332349,Brookdale Senior Living Inc.,BKD
3197,CECO ENVIRONMENTAL CORP,CECE
1393540,IGEN NETWORKS CORP,IGEN
1262200,DAYSTAR TECHNOLOGIES INC,DSTI
845289,"HARVEST NATURAL RESOURCES, INC.",HNR
1061393,CH ENERGY GROUP INC,CHG
746967,DALECO RESOURCES CORP,DLOV
790818,X RITE INC,XRIT
890491,BARNES & NOBLE INC,BKS
724606,PANERA BREAD CO,PNRA
1421182,Verso Paper Corp.,VRS
719955,WILLIAMS SONOMA INC,WSM
928592,PVF CAPITAL CORP,PVFC
90498,SIMMONS FIRST NATIONAL CORP,SFNC
1116132,COACH INC,COH
49534,LIFE PARTNERS HOLDINGS INC,LPHI
1005284,UNIVERSAL DISPLAY CORP \PA\,PANL
1361538,Primoris Services CORP,PRIM
1439106,"Stonecrest One, Inc.",NONE
105319,WEIGHT WATCHERS INTERNATIONAL INC,WTW
1393612,Discover Financial Services,DFS
919865,FENTURA FINANCIAL INC,FETM
66740,3M CO,MMM
109380,ZIONS BANCORPORATION /UT/,ZION
1113169,PRICE T ROWE GROUP INC,TROW
1018724,AMAZON COM INC,AMZN
787075,FIRST FINANCIAL HOLDINGS INC /DE/,FFCH
1167294,MERU NETWORKS INC,MERU
790703,TECH DATA CORP,TECD
1406666,"CALIX, INC",CALX
1088825,TIVO INC,TIVO
1173431,TD AMERITRADE HOLDING CORP,AMTD
1309442,HEALTH BENEFITS DIRECT CORP,HBDT.OB
1334303,ICX TECHNOLOGIES INC,ICXT
1052595,Red Lion Hotels CORP,RLH
1475922,"Primerica, Inc.",PRI
1354027,"SkyPostal Networks, Inc.",SKPN
1316175,Anthera Pharmaceuticals Inc,ANTH
318673,SECURITY NATIONAL FINANCIAL CORP,SNFCA
888491,OMEGA HEALTHCARE INVESTORS INC,OHI
1446414,"XtraSafe, Inc.",XSAF
751085,"MAGNETEK, INC.",MAG
890564,ON ASSIGNMENT INC,ASGN
1023731,8X8 INC /DE/,EGHT
1443387,RMR Real Estate Income Fund,RIF
794367,"Macy's, Inc.",M
1092302,JAVO BEVERAGE CO INC,JAVO
944947,EnergyConnect Group Inc,ECNG.OB
1071341,SANDERS MORRIS HARRIS GROUP INC,SMHG
1021635,OGE ENERGY CORP.,OGE
791908,XOMA LTD /DE/,XOMA
923603,FelCor Lodging Trust Inc,FCH
1402436,SS&C Technologies Holdings Inc,SSNC
1120462,IOWA TELECOMMUNICATIONS SERVICES INC,IWA
1096958,OPENTV CORP,OPTV
1410172,"Rubicon Technology, Inc.",RBCN
912750,NEWFIELD EXPLORATION CO /DE/,NFX
1121788,GARMIN LTD,GRMN
43300,GREAT ATLANTIC & PACIFIC TEA CO INC,GAP
1122020,PCS EDVENTURES COM INC,PCSV
1378706,AMERICAN DG ENERGY INC,ADGE
1387713,"NEULION, INC.",NLN
72903,XCEL ENERGY INC,XEL
1134765,"XELR8 HOLDINGS, INC.",XELR
1323974,"MWI Veterinary Supply, Inc.",MWIV
98246,TIFFANY & CO,TIF
740663,FIRST OF LONG ISLAND CORP,FLIC
1113513,SMART ONLINE INC,SOLN
1065754,VIKING SYSTEMS INC,VKNG
833640,POWER INTEGRATIONS INC,POWI
1090872,AGILENT TECHNOLOGIES INC,A
1051473,WESTERN RESERVE BANCORP INC,WRBO
1476170,Unilife Corp,UNIS
1166691,COMCAST CORP,CMCSA
1235468,LIQUIDITY SERVICES INC,LQDT
769397,AUTODESK INC,ADSK
943861,GOODRICH PETROLEUM CORP,GDP
356171,TRICO BANCSHARES /,tcbk
1318484,Citi Trends Inc,CTRN
1034239,RC2 CORP,RCRC
98222,TIDEWATER INC,TDW
1124610,"VMWARE, INC.",VMW
1285701,"MMR Information Systems, Inc.",MMRF
903127,POST PROPERTIES INC,PPS
1013606,ENDOLOGIX INC /DE/,ELGX
36270,M&T BANK CORP,MTB
886137,FINISH LINE INC /IN/,FINL
1058623,CUMULUS MEDIA INC,CMLS
1323715,"Superior Well Services, INC",SWSI
1141982,Cooper Industries plc,CBE
1010612,SYKES ENTERPRISES INC,SYKE
730464,DEVRY INC,DV
740260,VENTAS INC,VTR
1402281,Pacific Asia Petroleum Inc,PAP
96412,TASTY BAKING CO,TSTY
750577,HANCOCK HOLDING CO,HBHC
1296115,"DWS GLOBAL COMMODITIES STOCK FUND, INC.",GCS
1065280,NETFLIX INC,NFLX
1362004,"ICF International, Inc.",ICFI
718789,SHUFFLE MASTER INC,SHFL
875357,BOK FINANCIAL CORP ET AL,BOKF
59440,VECTOR GROUP LTD,VGR
1096481,ANGIOTECH PHARMACEUTICALS INC,ANPI
828750,GSI COMMERCE INC,GSIC
1399855,"National American University Holdings, Inc.",NAUH
1032033,SLM CORP,SLM
866368,PS BUSINESS PARKS INC/CA,PSB
61004,LGL GROUP INC,(LGL)
885275,WILSON BANK HOLDING CO,wbhc
810136,PHOTRONICS INC,PLAB
351903,EPOCH HOLDING CORP,EPHC
712034,ACCO BRANDS CORP,ABD
899689,VORNADO REALTY TRUST,VNO
1121783,AMERICAN SPECTRUM REALTY INC,AQQ
772572,EDAC TECHNOLOGIES CORP,EDAC
1162028,ALLIANCE CALIFORNIA MUNICIPAL INCOME FUND,AKP
63754,MCCORMICK & CO INC,MKC
1316631,"Liberty Global, Inc.",LBTY
818105,IBERO-AMERICA FUND INC,SNF
1066138,LODGIAN INC,LGN
1130464,BLACK HILLS CORP /SD/,BKH
910524,ACM MANAGED DOLLAR INCOME FUND INC,ADF
1054579,HASTINGS ENTERTAINMENT INC,HAST
825313,ALLIANCEBERNSTEIN HOLDING L.P.,AB
22356,COMMERCE BANCSHARES INC /MO/,CBSH
773660,"HealthMarkets, Inc.",
1045014,GAMETECH INTERNATIONAL INC,GMTC
77776,PHH CORP,PHH
1420302,"LogMeIn, Inc.",LOGM
876523,EZCORP INC,EZPW
55362,Investors Heritage Capital Corp,IHRC
1094831,"BGC Partners, Inc.",BGCP
49071,HUMANA INC,HUM
1405287,"Stream Global Services, Inc.",SGS
1158895,LEMAITRE VASCULAR INC,LMAT
1432150,"GigOptix, Inc.",GGOX
723594,FIRST CENTURY BANKSHARES INC,FCBS.OB
896985,Destination Maternity Corp,DEST
793306,BLUE DOLPHIN ENERGY CO,BDCO
1455926,"Butte Highlands Mining Company, Inc.",BTHI
773141,MDC HOLDINGS INC,MDC
878079,BON TON STORES INC,BONT
203527,VARIAN MEDICAL SYSTEMS INC,VAR
1479920,TBS International plc,TBSI
1434768,Aurios Inc.,AURZ.OB
63276,MATTEL INC /DE/,MAT
867687,"AMERICA WEST RESOURCES, INC.",AWSR.0B
1260221,TransDigm Group INC,TDG
1324948,RBC Bearings INC,ROLL
1435161,AB&T Financial CORP,ABTO
1135971,PEPCO HOLDINGS INC,POM
924901,MACK CALI REALTY CORP,CLI
1103390,"Ardea Biosciences, Inc./DE",RDEA
919226,SMURFIT STONE CONTAINER CORP,SSCC
746598,BRADY CORP,BRC
915779,DAKTRONICS INC /SD/,DAKT
1326583,WebMD Health Corp.,WBMD
911421,PARTNERRE LTD,PRE
27748,DEL GLOBAL TECHNOLOGIES CORP,DGTC.OB
1100962,ENDO PHARMACEUTICALS HOLDINGS INC,ENDP
1015593,RIVER VALLEY BANCORP,RIVR
795212,TRANS WORLD ENTERTAINMENT CORP,TWMC
1003929,"VIA Pharmaceuticals, Inc.",VIAP
64670,MEDTRONIC INC,MDT
1135152,FMC TECHNOLOGIES INC,FTI
811596,KAISER ALUMINUM CORP,KALU
1428669,"SolarWinds, Inc.",SWI
1089473,INVENTIV HEALTH INC,vtiv
947397,EVERGREEN SOLAR INC,ESLR
33619,ESTERLINE TECHNOLOGIES CORP,ESL
859222,CARROLLTON BANCORP,CRRB
1001463,ACACIA AUTOMOTIVE INC,ACCA
711404,COOPER COMPANIES INC,COO
816754,ALLIANCEBERNSTEIN INCOME FUND INC,ACG
830656,PRESSURE BIOSCIENCES INC,PBIO
1339553,"HealthSpring, Inc.",HS
876167,PROGRESS SOFTWARE CORP /MA,PRGS
1462567,"RICI Linked - PAM Advisors Fund, LLC",NONE
1077771,UMPQUA HOLDINGS CORP,UMPQ
1277856,CARDTRONICS INC,CATM
91928,SOUTH JERSEY INDUSTRIES INC,SJI
717423,MURPHY OIL CORP /DE,MUR
808362,BAKER HUGHES INC,BHI
730000,SUPERTEX INC,supx
46080,HASBRO INC,HAS
1370416,WESTPORT INNOVATIONS INC,WPRT
708821,PAR TECHNOLOGY CORP,PTC
863650,ADAM INC,ADAM
1437107,"Discovery Communications, Inc.",DISCA
907254,SAUL CENTERS INC,BFS
906013,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC,AWF
1050915,QUANTA SERVICES INC,PWR
1059556,MOODYS CORP /DE/,MCO
949156,MEADOWBROOK INSURANCE GROUP INC,MIG
822416,PULTEGROUP INC/MI/,PHM
896156,ETHAN ALLEN INTERIORS INC,ETH
1057877,IDACORP INC,IDA
1301206,"ECOTALITY, INC.",ETLE.OB
56978,KULICKE & SOFFA INDUSTRIES INC,KLIC
310764,STRYKER CORP,SYK
1045810,NVIDIA CORP,NVDA
108516,WORTHINGTON INDUSTRIES INC,WOR
320187,NIKE INC,NKE
1347178,Vanda Pharmaceuticals Inc.,VNDA
890543,INTERNATIONAL BARRIER TECHNOLOGY INC,IBTGF
70684,NATIONAL WESTERN LIFE INSURANCE CO,NWLI
946581,TAKE TWO INTERACTIVE SOFTWARE INC,TTWO
1094895,SOAPSTONE NETWORKS INC.,SOAP
89089,SERVICE CORPORATION INTERNATIONAL,SCI
1093897,COASTAL BANKING CO INC,CBCO
886128,FUELCELL ENERGY INC,FCEL
276209,CONNECTICUT WATER SERVICE INC / CT,CTWS
1390478,RXI PHARMACEUTICALS CORP,RXII
931015,POLARIS INDUSTRIES INC/MN,PII
71691,NEW YORK TIMES CO,NYT
275119,BAYLAKE CORP,BYLK
721683,TOTAL SYSTEM SERVICES INC,TSS
1252849,WELLS REAL ESTATE INVESTMENT TRUST II INC,
1130866,HITTITE MICROWAVE CORP,HITT
709942,Wilber CORP,GIW
1357371,BreitBurn Energy Partners L.P.,BBEP
1257640,KRONOS WORLDWIDE INC,KRO
1162027,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,AFB
1128353,ENERTECK CORP,ETCK.OB
900349,PERRY ELLIS INTERNATIONAL INC,PERY
803014,COMVERSE TECHNOLOGY INC/NY/,CMVT.PK
320017,"NeoStem, Inc.",NBS
1106851,OMNIVISION TECHNOLOGIES INC,OVTI
763563,CHEMUNG FINANCIAL CORP,CHMG
1326973,"SMART Modular Technologies (WWH), Inc.",SMOD
1163165,CONOCOPHILLIPS,COP
1109448,ALLIANCEBERNSTEIN L.P.,
1043219,ANNALY CAPITAL MANAGEMENT INC,NLY
707855,PRINCETON NATIONAL BANCORP INC,PNBC
713425,AMERICAN SOFTWARE INC,AMSWA
1408100,"Kennedy-Wilson Holdings, Inc.",KW
936395,CIENA CORP,CIEN
1162030,ALLIANCE NEW YORK MUNICIPAL INCOME FUND,AYN
1296884,"Lightstone Value Plus Real Estate Investment Trust, Inc.",NONE
1124827,UTi WORLDWIDE INC,UTIW
867665,ABRAXAS PETROLEUM CORP,AXAS
730716,ZYGO CORP,ZIGO
1090908,SELECTICA INC,SLTC
96869,TEJON RANCH CO,TRC
69499,MYLAN INC.,MYL
93451,STERLING BANCORP,STL
9984,BARNES GROUP INC,B
761648,CEDAR SHOPPING CENTERS INC,CDR
1022570,CARDIMA INC,CADM
43350,Energy Inc.,EGAS
1056285,"KIRKLAND'S, INC",KIRK
1109357,EXELON CORP,EXC
1397516,REX ENERGY CORP,REXX
1425035,"Shatrusen, Inc.",NONE
702513,Bank of Commerce Holdings,BOCH
1274494,"FIRST SOLAR, INC.",FSLR
741815,HOOPER HOLMES INC,HH
1068851,PROSPERITY BANCSHARES INC,PRSP
19612,CHEMICAL FINANCIAL CORP,(CHFC)
354950,HOME DEPOT INC,HD
1041326,CORPORATE PROPERTY ASSOCIATES 14 INC,NONE
9389,BALL CORP,BLL
1419836,"Parks One, Inc.",NONE
763532,LSI INDUSTRIES INC,LYTS
1366649,"Veraz Networks, Inc.",VRAZ
723188,COMMUNITY BANK SYSTEM INC,CBU
59558,LINCOLN NATIONAL CORP,LNC
882835,ROPER INDUSTRIES INC,ROP
1033905,LUMINEX CORP,LMNX
1353386,"REMEDIATION SERVICES, INC.",RMSI
318996,KEY ENERGY SERVICES INC,KEG
1319327,Encore Bancshares Inc,EBTX
1138301,CORPORATE PROPERTY ASSOCIATES 15 INC,NONE
76267,PARK ELECTROCHEMICAL CORP,PKE
1042809,"A.C. Moore Arts & Crafts, Inc.",ACMR
1333248,CADENCE PHARMACEUTICALS INC,CADX
1174527,CITADEL BROADCASTING CORP,CTDB
914475,NEUROCRINE BIOSCIENCES INC,NBIX
745732,ROSS STORES INC,ROST
1392448,"Midas Medici Group Holdings, Inc.",MMED
918964,INTERNATIONAL TEXTILE GROUP INC,ITXN
1267201,SEABRIGHT INSURANCE HOLDINGS INC,SBX
103379,V F CORP,VFC
921738,PENN NATIONAL GAMING INC,PENN
1323115,Cardiac Science CORP,CSCX
37748,MASSEY ENERGY CO,MEE
316253,ENZO BIOCHEM INC,ENZ
814361,TIMBERLAND CO,TBL
1131554,SYNCHRONOSS TECHNOLOGIES INC,SNCR
1095751,"SKYE INTERNATIONAL, INC",SKYI
813781,EXIDE TECHNOLOGIES,XIDE
