tag,company_count,value_count,avg_values_per_company,units
DeferredTaxLiabilitiesOther,407,8553,21.01,USD
PaymentsForProceedsFromOtherInvestingActivities,402,38359,95.42,USD
DeferredStateAndLocalIncomeTaxExpenseBenefit,401,14849,37.03,USD
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,400,12312,30.78,USD
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,399,12043,30.18,USD
OtherLiabilitiesNoncurrent,396,39083,98.69,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,396,41214,104.08,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,394,13219,33.55,shares
DeferredTaxAssetsGross,394,9156,23.24,USD
InterestPaidNet,393,22776,57.95,USD
OperatingLeaseLiability,392,6234,15.9,USD
OperatingLeaseRightOfUseAsset,391,12391,31.69,USD
AmortizationOfIntangibleAssets,391,38139,97.54,USD
PreferredStockSharesAuthorized,391,23909,61.15,shares
CommonStockDividendsPerShareDeclared,390,55910,143.36,"pure, BillionsCubicFeet, CHF/shares, CHF, CAD/shares, shares, USD/shares, segment, EUR"
ProfitLoss,389,60753,156.18,USD
PaymentsToAcquirePropertyPlantAndEquipment,388,40987,105.64,USD
ProceedsFromPaymentsForOtherFinancingActivities,388,33824,87.18,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,387,43112,111.4,USD
OperatingLeasesFutureMinimumPaymentsDue,387,4305,11.12,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,386,32619,84.51,USD
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,386,61625,159.65,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,385,5482,14.24,USD
Revenues,384,55221,143.8,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,384,12554,32.69,"pure, GBP, AUD, shares, USD/shares, EUR/shares"
FiniteLivedIntangibleAssetsAccumulatedAmortization,384,23468,61.11,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,383,5495,14.35,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,383,5481,14.31,USD
LesseeOperatingLeaseLiabilityPaymentsDue,383,4097,10.7,USD
CurrentForeignTaxExpenseBenefit,382,13963,36.55,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,381,4946,12.98,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,381,19250,50.52,USD
DeferredIncomeTaxLiabilities,380,7235,19.04,USD
AllocatedShareBasedCompensationExpense,379,26486,69.88,USD
CurrentIncomeTaxExpenseBenefit,379,16203,42.75,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,377,7923,21.02,USD
OperatingLeaseWeightedAverageDiscountRatePercent,377,6303,16.72,"pure, Rate"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,377,5079,13.47,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,377,3931,10.43,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,376,3931,10.45,USD
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,376,6670,17.74,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,376,7907,21.03,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,376,3924,10.44,USD
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,376,3974,10.57,USD
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,375,3119,8.32,USD
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,375,3195,8.52,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,375,7854,20.94,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,370,6676,18.04,USD
DeferredForeignIncomeTaxExpenseBenefit,368,13127,35.67,USD
StockIssuedDuringPeriodSharesStockOptionsExercised,367,8574,23.36,shares
GoodwillAcquiredDuringPeriod,367,9569,26.07,USD
GoodwillImpairmentLoss,367,9978,27.19,USD
RepaymentsOfLongTermDebt,366,27185,74.28,"GBP, USD, EUR"
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,364,2826,7.76,USD
DeferredTaxLiabilitiesPropertyPlantAndEquipment,364,8058,22.14,USD
IntangibleAssetsNetExcludingGoodwill,364,28999,79.67,USD
ProceedsFromIssuanceOfLongTermDebt,360,23789,66.08,"USD, EUR"
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,359,44123,122.91,USD
IncomeTaxesPaidNet,358,24877,69.49,USD
AccountsPayableCurrent,355,34554,97.34,USD
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,355,6418,18.08,USD
OperatingLeasePayments,355,8030,22.62,USD
DeferredTaxLiabilitiesNoncurrent,354,17876,50.5,USD
DepreciationDepletionAndAmortization,350,31261,89.32,USD
CommonStockSharesOutstanding,350,28810,82.31,shares
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,349,12073,34.59,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,345,9765,28.3,"USD, EUR"
LongTermDebtNoncurrent,345,26504,76.82,"USD, EUR"
OperatingLeaseCost,343,8879,25.89,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,343,12728,37.11,USD
OtherNonoperatingIncomeExpense,343,44836,130.72,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,340,5684,16.72,shares
MinorityInterest,340,28823,84.77,USD
Liabilities,340,33111,97.39,USD
LeaseAndRentalExpense,340,9091,26.74,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,339,5278,15.57,USD
AllowanceForDoubtfulAccountsReceivableCurrent,339,24557,72.44,USD
DeferredTaxAssetsNetCurrent,336,11995,35.7,USD
OtherAssetsCurrent,336,26758,79.64,USD
FiniteLivedIntangibleAssetsGross,334,17470,52.31,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,334,5434,16.27,"USD/shares, GBP, pure"
TreasuryStockValue,334,29966,89.72,USD
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,334,17184,51.45,USD
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,333,1960,5.89,USD
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,331,8319,25.13,USD
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,331,18689,56.46,USD
RestructuringCharges,331,20460,61.81,USD
Depreciation,330,23706,71.84,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,330,6135,18.59,shares
FiniteLivedIntangibleAssetsNet,329,16522,50.22,USD
AccountsReceivableNetCurrent,329,30103,91.5,USD
DefinedContributionPlanCostRecognized,329,12051,36.63,USD
EffectOfExchangeRateOnCashAndCashEquivalents,328,23723,72.33,USD
NetIncomeLossAttributableToNoncontrollingInterest,326,42210,129.48,USD
PreferredStockParOrStatedValuePerShare,325,20072,61.76,"USD/shares, GBP/shares, shares, pure"
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,324,5610,17.31,"USD/shares, AUD, EUR/shares, GBP"
InventoryNet,323,31131,96.38,USD
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,323,32196,99.68,USD
AssetImpairmentCharges,322,12919,40.12,USD
DeferredTaxAssetsOperatingLossCarryforwards,321,6225,19.39,USD
OperatingLeaseLiabilityNoncurrent,320,10450,32.66,USD
LongTermDebtCurrent,320,17100,53.44,"CAD, USD, EUR"
TreasuryStockShares,317,23689,74.73,shares
OperatingLeaseLiabilityCurrent,317,9218,29.08,USD
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,315,6976,22.15,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,315,4123,13.09,USD
IncreaseDecreaseInInventories,314,32130,102.32,USD
LineOfCreditFacilityMaximumBorrowingCapacity,314,4095,13.04,"GBP, CNY, JPY, USD, RSD, CAD, EUR"
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,312,11923,38.21,"pure, Rate, USD"
NumberOfReportableSegments,311,8022,25.79,"Item, Segment, Business_Segments, numberOfPeople, reportableSegments, business, USN, instrument, business_segment, reportablesegments, Business, Division, numberOfSegment, segments, Segments, ReportableSegments, merchant, positions, unit_segment, businessSegment, business_unit, lines_of_business, reporting_unit, reportableBusinessSe, portfolio, USD, item, site, operating_segments, country, Reporting_unit, Reportable_Segment, reportable_segment, Number_of_Segmnts, Integer, region, segement, pure, subsegment, reportableSegment, Entity, number, reporting_segment, Party, reportable_segments, reporting_Unit, integer, investor, numberOfReportableSe, reporting_segments, Reportable_Segments, Reportable_segment, Country, ReportingUnit, segment, reportingUnit, division, Reporting_Unit, store, plant, service_offering, units, ReportableSegment, count, line_of_business, BusinessSegment, numberOfSegments, plan, customers"
EffectiveIncomeTaxRateReconciliationOtherAdjustments,311,12344,39.69,"pure, Rate, USD"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,311,8169,26.27,"pure, percent, Rate, USD"
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,310,35061,113.1,shares
TreasuryStockValueAcquiredCostMethod,309,19939,64.53,USD
PreferredStockSharesIssued,309,18814,60.89,shares
GainsLossesOnExtinguishmentOfDebt,309,14577,47.17,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,308,8192,26.6,"USD/shares, pure"
ProceedsFromStockOptionsExercised,307,18310,59.64,"USD, EUR"
FutureAmortizationExpenseYearOne,307,1203,3.92,USD
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,306,4706,15.38,"USD/shares, EUR/shares"
FutureAmortizationExpenseYearTwo,306,1283,4.19,USD
FutureAmortizationExpenseYearThree,305,1279,4.19,USD
FutureAmortizationExpenseYearFour,303,1273,4.2,USD
EmployeeRelatedLiabilitiesCurrent,303,20929,69.07,USD
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,301,4887,16.24,USD
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,300,3582,11.94,USD
IncomeLossFromEquityMethodInvestments,298,29082,97.59,USD
FutureAmortizationExpenseYearFive,298,1152,3.87,USD
AdditionalPaidInCapitalCommonStock,298,26115,87.63,USD
InterestPaid,294,13144,44.71,USD
PreferredStockValue,294,18974,64.54,USD
SellingGeneralAndAdministrativeExpense,293,47915,163.53,USD
IncomeLossFromContinuingOperationsPerDilutedShare,293,32282,110.18,"USD/shares, segment, shares, pure"
IncomeLossFromContinuingOperationsPerBasicShare,291,32068,110.2,"USD/shares, shares, segment, pure"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,290,7666,26.43,"pure, percent, Rate, years"
DeferredIncomeTaxLiabilitiesNet,290,11620,40.07,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,288,1280,4.44,"pure, GBP, USD"
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,288,23904,83.0,USD
PaymentsOfDividendsCommonStock,286,28441,99.44,USD
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,286,27135,94.88,USD
RevenueFromContractWithCustomerExcludingAssessedTax,284,21530,75.81,USD
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,284,21292,74.97,USD
LeaseCost,283,7338,25.93,USD
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,281,29612,105.38,USD
RestructuringReserve,280,12829,45.82,USD
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,279,16482,59.08,USD
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,278,18955,68.18,USD
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,278,11169,40.18,USD
AccruedIncomeTaxesCurrent,275,16714,60.78,USD
DividendsCommonStockCash,275,22745,82.71,"USD, EUR"
IncomeLossFromContinuingOperations,274,25024,91.33,USD
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,273,5151,18.87,USD
StockIssuedDuringPeriodValueShareBasedCompensation,272,18125,66.64,USD
CommonStockDividendsPerShareCashPaid,271,26549,97.97,"USD/shares, CHF/shares, shares, pure"
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,271,22211,81.96,"USD/shares, pure"
OtherNoncashIncomeExpense,270,21365,79.13,USD
UndistributedEarningsOfForeignSubsidiaries,268,2130,7.95,USD
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,268,21993,82.06,"USD/shares, pure"
IncreaseDecreaseInAccountsReceivable,267,25351,94.95,USD
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,266,8545,32.12,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,265,6882,25.97,"pure, percent, Rate"
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,264,3844,14.56,shares
IncomeTaxesPaid,263,12361,47.0,USD
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,262,8965,34.22,USD
NetIncomeLossAvailableToCommonStockholdersBasic,261,33178,127.12,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,261,1235,4.73,"pure, USD, shares"
DeferredTaxAssetsNetNoncurrent,261,9278,35.55,USD
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,257,11736,45.67,USD
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,255,11705,45.9,USD
ProceedsFromIssuanceOfCommonStock,254,14621,57.56,USD
InvestmentIncomeInterest,254,25670,101.06,USD
AdditionalPaidInCapital,253,18553,73.33,USD
TreasuryStockSharesAcquired,253,9841,38.9,shares
ProceedsFromDivestitureOfBusinesses,252,5440,21.59,"GBP, USD, EUR"
ValuationAllowanceDeferredTaxAssetChangeInAmount,252,3357,13.32,USD
IncomeLossFromDiscontinuedOperationsNetOfTax,251,19855,79.1,USD
StockRepurchasedDuringPeriodValue,250,8635,34.54,USD
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,250,8256,33.02,"pure, Rate, USD"
ShortTermBorrowings,250,14461,57.84,"USD, EUR"
PreferredStockSharesOutstanding,250,12809,51.24,shares
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,249,3695,14.84,shares
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,249,10380,41.69,USD
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,248,10392,41.9,USD
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,247,10275,41.6,USD
GrossProfit,247,42003,170.05,USD
DepreciationAndAmortization,246,20726,84.25,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,246,2065,8.39,"pure, Year, Decimal, USD, year, Number, Years, decimal, Y, yr, Yr, years, numberofyears"
ProceedsFromSaleOfPropertyPlantAndEquipment,244,14074,57.68,USD
IncreaseDecreaseInOtherOperatingCapitalNet,243,21173,87.13,USD
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,239,10031,41.97,USD
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,239,14049,58.78,USD
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,239,10158,42.5,USD
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,238,9290,39.03,USD
PaymentsOfDividends,238,19994,84.01,USD
EquityMethodInvestments,238,9799,41.17,"KRW, USD"
OtherLiabilitiesCurrent,237,19636,82.85,USD
IncomeTaxReconciliationStateAndLocalIncomeTaxes,237,8731,36.84,USD
VariableLeaseCost,237,5758,24.3,USD
NumberOfOperatingSegments,236,4737,20.07,"Item, ReportingUnits, operatingUnit, Segment, business, USN, Business, business_segment, reportablesegments, Operating_segments, numberOfSegment, segments, Segments, merchant, Operating_Segments, numberOfDivisions, businessSegment, business_unit, reporting_unit, portfolio, USD, Areas, site, item, retiree, country, operating_segments, Reporting_unit, Operating_Segment, OperatingSegments, Integer, segement, Entity, pure, number, Lines_of_Business, integer, investor, State, Segments2, subsidiary, Sectors, segment, division, Unit, operatingSegment, case, units, numberOfSegments, operating_segment, Subsidiaries"
DefinedBenefitPlanFairValueOfPlanAssets,235,3821,16.26,USD
CostOfGoodsAndServicesSold,234,23200,99.15,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriod,234,703,3.0,shares
StockRepurchaseProgramAuthorizedAmount1,234,3352,14.32,USD
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,233,4669,20.04,"USD, EUR"
IncomeTaxReconciliationOtherAdjustments,233,8227,35.31,USD
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,233,5964,25.6,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,232,4023,17.34,"USD/shares, GBP, shares, pure"
IncreaseDecreaseInOtherOperatingAssets,232,18308,78.91,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,231,659,2.85,"pure, Year, USD, year, months, M, Years, y, Y, decimal, shares, years, yr"
DebtInstrumentCarryingAmount,231,7011,30.35,"USD, EUR"
DerivativeFairValueOfDerivativeLiability,231,12656,54.79,"USD, ZAR"
DebtInstrumentFaceAmount,229,3272,14.29,"GBP, JPY, USD, CAD, EUR"
DerivativeFairValueOfDerivativeAsset,228,12902,56.59,USD
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsOutstandingWeightedAverageRemainingContractualTerm1,227,507,2.23,"pure, Year, months, year, USD, M, Years, y, Y, yr, years"
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,227,23189,102.15,USD
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,227,2628,11.58,USD
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,226,4214,18.65,USD
WeightedAverageNumberDilutedSharesOutstandingAdjustment,225,24511,108.94,shares
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,224,5108,22.8,USD
PaymentsForRestructuring,223,6416,28.77,USD
TreasuryStockCommonShares,223,4351,19.51,shares
DeferredIncomeTaxAssetsNet,221,7930,35.88,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,220,4575,20.8,shares
SalesRevenueNet,220,29059,132.09,USD
FinanceLeaseLiability,219,3549,16.21,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,219,2833,12.94,shares
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,219,10764,49.15,USD
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,219,5846,26.69,USD
IncreaseDecreaseInAccruedIncomeTaxesPayable,218,15800,72.48,USD
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,217,2990,13.78,USD
ProceedsFromRepaymentsOfShortTermDebt,217,13650,62.9,USD
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,216,3892,18.02,USD
ProvisionForDoubtfulAccounts,215,12042,56.01,USD
MinorityInterestDecreaseFromRedemptions,214,3658,17.09,"CNY, USD"
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,214,13068,61.07,USD
AccruedLiabilitiesCurrent,213,17895,84.01,USD
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,213,14462,67.9,USD
StockIssuedDuringPeriodValueNewIssues,212,7712,36.38,USD
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,212,10379,48.96,USD
Land,212,6439,30.37,USD
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,211,1437,6.81,USD
StockRepurchasedDuringPeriodShares,211,5210,24.69,shares
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,210,4370,20.81,"pure, Rate"
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,210,11531,54.91,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,210,2670,12.71,shares
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,209,3870,18.52,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,209,3088,14.78,shares
BuildingsAndImprovementsGross,209,5948,28.46,USD
IncreaseDecreaseInAccountsPayable,208,20777,99.89,USD
DefinedBenefitPlanContributionsByEmployer,208,3814,18.34,"GBP, USD"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,208,4715,22.67,"USD/shares, GBP, pure"
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,208,7203,34.63,USD
DerivativeAssets,207,8605,41.57,USD
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,206,11565,56.14,USD
OtherAccruedLiabilitiesCurrent,206,11303,54.87,USD
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,204,13404,65.71,USD
StockholdersEquityOther,203,9902,48.78,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,202,2868,14.2,shares
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition,202,570,2.82,"pure, Year, months, year, USD, Month, M, count, Years, Yr, Y, yr, years"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,201,2720,13.53,"USD/shares, GBP, pure"
NonoperatingIncomeExpense,201,24113,119.97,USD
DebtCurrent,200,12469,62.34,USD
OtherComprehensiveIncomeLossTax,200,13001,65.0,USD
CostsAndExpenses,199,28211,141.76,USD
DeferredTaxLiabilitiesUndistributedForeignEarnings,199,2940,14.77,USD
FinanceLeaseLiabilityPaymentsDue,199,1802,9.06,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,199,3515,17.66,shares
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,199,2438,12.25,"pure, Rate, USD"
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,198,1679,8.48,shares
