tag,company_count,value_count,avg_values_per_company,units
Goodwill,467,54456,116.61,USD
DeferredIncomeTaxExpenseBenefit,467,40633,87.01,USD
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,464,5443,11.73,USD
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,463,5426,11.72,USD
OperatingLeasesFutureMinimumPaymentsDueInFourYears,463,5412,11.69,USD
OperatingLeaseWeightedAverageDiscountRatePercent,463,7863,16.98,"pure, Rate"
CommonStockParOrStatedValuePerShare,462,44177,95.62,"shares, PerShare, pure, EUR/shares, GBP/shares, shares/USD, USD/shares, CHF/shares"
OperatingLeasesFutureMinimumPaymentsDueCurrent,461,5128,11.12,USD
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,461,3632,7.88,USD
DeferredTaxAssetsValuationAllowance,460,12790,27.8,USD
OperatingLeasesFutureMinimumPaymentsDueThereafter,460,5253,11.42,USD
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,460,5279,11.48,USD
DeferredTaxLiabilities,457,9853,21.56,USD
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,457,32943,72.09,USD
CurrentFederalTaxExpenseBenefit,454,18212,40.11,USD
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,452,15637,34.6,USD
OtherComprehensiveIncomeLossNetOfTax,452,54676,120.96,"USD, EUR"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,451,22131,49.07,"Rate, percent, pure, percentage, Percent, USD, BND/VND"
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,450,14809,32.91,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,449,48594,108.23,USD
EffectiveIncomeTaxRateContinuingOperations,446,47648,106.83,"Rate, percent, pure, customers, percentage, Percent, USD"
CommonStockValue,445,44962,101.04,"USD, EUR"
InterestPaidNet,445,26406,59.34,USD
CommonStockSharesIssued,445,41639,93.57,shares
OperatingLeasePayments,445,10661,23.96,USD
DeferredFederalIncomeTaxExpenseBenefit,442,17527,39.65,USD
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,438,13785,31.47,USD
DeferredTaxAssetsNet,436,10939,25.09,USD
ShareBasedCompensation,436,52946,121.44,USD
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,436,43594,99.99,shares
DeferredTaxAssetsLiabilitiesNet,434,7651,17.63,USD
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,433,11228,25.93,USD
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,432,12667,29.32,USD
CurrentStateAndLocalTaxExpenseBenefit,432,17450,40.39,USD
AmortizationOfIntangibleAssets,431,44002,102.09,USD
PropertyPlantAndEquipmentGross,429,25143,58.61,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,428,30651,71.61,"USD, EUR"
DeferredTaxAssetsOther,428,9987,23.33,USD
LongTermDebt,426,20078,47.13,"USD, EUR"
DeferredIncomeTaxLiabilities,425,8547,20.11,USD
AssetsCurrent,423,47807,113.02,USD
LiabilitiesCurrent,423,47749,112.88,USD
InterestExpense,421,62757,149.07,USD
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,420,7803,18.58,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,420,9475,22.56,USD
OtherAssetsNoncurrent,420,45508,108.35,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,420,9419,22.43,USD
FiniteLivedIntangibleAssetsAccumulatedAmortization,419,26859,64.1,USD
OperatingLeaseCost,419,11452,27.33,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,419,9505,22.68,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,418,8016,19.18,USD
OperatingLeasesFutureMinimumPaymentsDue,418,4878,11.67,USD
DeferredTaxAssetsGross,416,10045,24.15,USD
OperatingIncomeLoss,416,87383,210.06,USD
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,416,2667,6.41,USD
DeferredTaxLiabilitiesOther,414,8658,20.91,USD
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,412,13130,31.87,USD
DeferredStateAndLocalIncomeTaxExpenseBenefit,412,16147,39.19,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,411,6360,15.47,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,411,6349,15.45,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,410,6337,15.46,USD
OperatingLeaseLiabilityNoncurrent,410,13080,31.9,USD
OtherLiabilitiesNoncurrent,407,43107,105.91,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,407,5523,13.57,USD
Revenues,406,58457,143.98,"AFN, USD"
AllocatedShareBasedCompensationExpense,406,32135,79.15,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,406,5657,13.93,USD
PaymentsForProceedsFromOtherInvestingActivities,405,38582,95.26,USD
OperatingLeaseLiabilityCurrent,405,11410,28.17,USD
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,403,66319,164.56,USD
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,403,12488,30.99,USD
ProfitLoss,402,65630,163.26,USD
CurrentIncomeTaxExpenseBenefit,399,16807,42.12,USD
ProceedsFromPaymentsForOtherFinancingActivities,398,34616,86.97,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,397,14624,36.84,shares
PreferredStockSharesAuthorized,396,26648,67.29,shares
CommonStockSharesOutstanding,395,33898,85.82,shares
PaymentsToAcquirePropertyPlantAndEquipment,395,45568,115.36,USD
GoodwillAcquiredDuringPeriod,392,11110,28.34,USD
CurrentForeignTaxExpenseBenefit,392,15457,39.43,USD
IntangibleAssetsNetExcludingGoodwill,385,31801,82.6,USD
StockIssuedDuringPeriodSharesStockOptionsExercised,384,9291,24.2,shares
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,384,14054,36.6,"pure, AUD, EUR/shares, GBP, USD/shares"
FiniteLivedIntangibleAssetsNet,382,21059,55.13,USD
DeferredForeignIncomeTaxExpenseBenefit,381,14443,37.91,USD
CommonStockDividendsPerShareDeclared,377,57367,152.17,"shares, pure, CAD/shares, BillionsCubicFeet, CHF, USD/shares, segment, CHF/shares"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,377,44924,119.16,USD
ProceedsFromIssuanceOfLongTermDebt,376,25694,68.34,"USD, EUR"
GoodwillImpairmentLoss,373,9853,26.42,USD
OtherNonoperatingIncomeExpense,372,52824,142.0,USD
IncomeTaxesPaidNet,372,27447,73.78,USD
FiniteLivedIntangibleAssetsGross,371,21163,57.04,USD
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,367,46899,127.79,USD
RepaymentsOfLongTermDebt,367,28466,77.56,"USD, EUR, GBP"
AccountsPayableCurrent,367,37921,103.33,USD
Liabilities,366,38488,105.16,USD
DeferredTaxLiabilitiesPropertyPlantAndEquipment,365,8457,23.17,USD
DepreciationDepletionAndAmortization,358,36984,103.31,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,356,13230,37.16,USD
MinorityInterest,354,30419,85.93,USD
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,354,6824,19.28,"USD/shares, GBP, AUD"
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,354,37511,105.96,USD
DeferredIncomeTaxLiabilitiesNet,353,14147,40.08,USD
LongTermDebtNoncurrent,351,28304,80.64,"USD, EUR"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,351,20738,59.08,USD
Depreciation,351,25844,73.63,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,349,11353,32.53,USD
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,349,4717,13.52,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,349,13701,39.26,USD
RevenueFromContractWithCustomerExcludingAssessedTax,349,27942,80.06,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,348,6456,18.55,"USD, EUR"
DeferredTaxLiabilitiesNoncurrent,348,18138,52.12,USD
AllowanceForDoubtfulAccountsReceivableCurrent,348,26874,77.22,USD
NumberOfReportableSegments,347,10389,29.94,"reportingUnit, Reportable_segment, OperatingSegments, pure, ReportableSegment, integer, USD, Segment, Entities, property, segments, site, ReportableSegments, option, Business_Segments, u_eriRegionorSegment, reporting_units, numberOfSegments, business_segment, positions, unit_segment, portfolio, division, USN, plant, Item, Integer, BusinessSegment, numberOfPeople, segment, business, Reportable_Segment, reporting_unit, Segments, Reporting_Unit, reporting_Unit, Country, count, Reportable, reportablesegment, ReportingUnit, region, item, line_of_business, reportable_segment, reportablesegments, Hospital, reporting_segment, reportableSegments, Business, investor, Number, Reportable_Segments, reportable_business_, customers, numberOfSegment, segement, plan, operating_segments, businessSegment, business_unit, segment1, regionorSegment, instrument, reportableSegment, Reporting_unit, lines_of_business, numberOfEmployees, reportable_segments, number"
DefinedContributionPlanCostRecognized,344,12701,36.92,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,343,6261,18.25,shares
AccountsReceivableNetCurrent,341,34227,100.37,USD
NetIncomeLossAttributableToNoncontrollingInterest,341,44694,131.07,USD
EffectOfExchangeRateOnCashAndCashEquivalents,338,25693,76.01,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,337,6047,17.94,"pure, USD/shares, GBP"
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,336,41355,123.08,shares
LeaseCost,335,9134,27.27,USD
LongTermDebtCurrent,329,19081,58.0,"USD, EUR, CAD"
TreasuryStockValue,329,31208,94.86,USD
PreferredStockParOrStatedValuePerShare,328,23013,70.16,"shares, PerShare, pure, EUR/shares, GBP/shares, USD/shares"
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,326,13466,41.31,USD
InventoryNet,324,33290,102.75,USD
DeferredTaxAssetsOperatingLossCarryforwards,324,6640,20.49,USD
OtherAssetsCurrent,322,27633,85.82,USD
AssetImpairmentCharges,321,12725,39.64,USD
PreferredStockSharesIssued,320,21120,66.0,shares
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,319,16963,53.18,USD
LeaseAndRentalExpense,319,8803,27.6,USD
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,318,5824,18.31,USD/shares
EmployeeRelatedLiabilitiesCurrent,317,24158,76.21,USD
IncreaseDecreaseInInventories,316,34308,108.57,USD
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,316,4400,13.92,USD
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,316,25758,81.51,USD
RestructuringCharges,315,20482,65.02,"USD, EUR"
DeferredTaxAssetsNetCurrent,315,11140,35.37,USD
ProceedsFromStockOptionsExercised,315,20302,64.45,USD
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,314,12596,40.11,"pure, USD, Rate"
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,312,29182,93.53,USD
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,311,5780,18.59,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,311,9333,30.01,"pure, USD/shares"
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,310,5478,17.67,USD
IncomeLossFromEquityMethodInvestments,309,33167,107.34,USD
PreferredStockValue,307,20897,68.07,USD
TreasuryStockValueAcquiredCostMethod,307,22822,74.34,USD
EffectiveIncomeTaxRateReconciliationOtherAdjustments,305,12696,41.63,"pure, USD, Rate"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,304,9198,30.26,"percent, pure, USD, Rate"
GainsLossesOnExtinguishmentOfDebt,303,15659,51.68,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,302,5985,19.82,shares
LineOfCreditFacilityMaximumBorrowingCapacity,302,4048,13.4,"CNY, EUR, BRL, USD, GBP, JPY, CAD"
InterestPaid,299,13507,45.17,"USD, EUR"
NetIncomeLossAvailableToCommonStockholdersBasic,299,36560,122.27,USD
TreasuryStockShares,296,23529,79.49,shares
SellingGeneralAndAdministrativeExpense,292,51618,176.77,USD
UndistributedEarningsOfForeignSubsidiaries,292,2366,8.1,USD
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,291,5867,20.16,USD
AdditionalPaidInCapitalCommonStock,291,28103,96.57,USD
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,291,32370,111.24,USD
OtherNoncashIncomeExpense,290,24348,83.96,USD
FutureAmortizationExpenseYearTwo,287,1070,3.73,USD
FutureAmortizationExpenseYearThree,286,1068,3.73,USD
FutureAmortizationExpenseYearOne,285,1001,3.51,USD
PaymentsOfDividendsCommonStock,284,30211,106.38,USD
FutureAmortizationExpenseYearFour,283,1061,3.75,USD
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,283,28208,99.67,USD
IncreaseDecreaseInAccountsReceivable,283,29299,103.53,USD
TreasuryStockCommonShares,282,5133,18.2,shares
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,282,8525,30.23,"Rate, years, percent, pure, USD"
StockRepurchaseProgramAuthorizedAmount1,279,4479,16.05,USD
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,279,9159,32.83,USD
PreferredStockSharesOutstanding,278,15791,56.8,shares
DeferredIncomeTaxAssetsNet,278,9819,35.32,USD
FutureAmortizationExpenseYearFive,277,967,3.49,USD
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,274,16020,58.47,USD
VariableLeaseCost,274,7254,26.47,USD
AccruedIncomeTaxesCurrent,274,17246,62.94,USD
ProceedsFromIssuanceOfCommonStock,274,17011,62.08,USD
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,274,20202,73.73,USD
IncomeTaxesPaid,273,13776,50.46,USD
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,273,1816,6.65,USD
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,269,11348,42.19,USD
AdditionalPaidInCapital,268,21170,78.99,"USD, EUR"
IncomeLossFromContinuingOperationsPerDilutedShare,267,28773,107.76,"shares, pure, USD/shares, segment"
IncomeLossFromContinuingOperationsPerBasicShare,267,28570,107.0,"shares, pure, USD/shares, segment"
TreasuryStockSharesAcquired,267,11690,43.78,shares
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,264,1110,4.2,"pure, USD, GBP"
ValuationAllowanceDeferredTaxAssetChangeInAmount,264,3488,13.21,USD
DividendsCommonStockCash,264,23689,89.73,USD
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,262,12247,46.74,USD
RestructuringReserve,261,12754,48.87,USD
CostOfGoodsAndServicesSold,261,28208,108.08,USD
GrossProfit,260,48889,188.03,USD
StockIssuedDuringPeriodValueShareBasedCompensation,260,19269,74.11,USD
NumberOfOperatingSegments,258,5650,21.9,"operatingSegment, ReportingUnits, pure, integer, Areas, USD, Segment, segments, site, Entity, numberOfSegments, business_segment, portfolio, division, USN, Hotel, Item, Lines_of_Business, segment, business, subsidiary, reporting_unit, Segments, Operating_Segment, Subsidiaries, Operations, item, Sectors, reportablesegments, operation, BusinessSegments, Operating_segments, Customer, Business, retiree, membership, Number, investor, operating_segments, numberOfSegment, units, segement, State, businessSegment, business_unit, segment1, operating_segment, case, unit_Operation"
FinanceLeaseLiability,257,4480,17.43,USD
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,257,11041,42.96,USD
DebtInstrumentCarryingAmount,257,8839,34.39,"USD, EUR"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,256,7229,28.24,"percent, pure, USD, Rate"
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,256,10547,41.2,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,256,4087,15.96,shares
StockRepurchasedDuringPeriodValue,255,9425,36.96,USD
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,253,10223,40.41,USD
CommonStockDividendsPerShareCashPaid,252,27414,108.79,"shares, pure, EUR, shares/USD, USD/shares, CHF/shares"
ProceedsFromSaleOfPropertyPlantAndEquipment,250,15004,60.02,USD
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,250,11962,47.85,USD
ProceedsFromDivestitureOfBusinesses,249,5551,22.29,"USD, EUR, GBP"
EquityMethodInvestments,249,11551,46.39,"USD, KRW"
IncomeLossFromContinuingOperations,247,21963,88.92,USD
DeferredTaxAssetsNetNoncurrent,247,9182,37.17,USD
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,246,8713,35.42,"pure, USD, Rate"
InvestmentIncomeInterest,246,26531,107.85,USD
GoodwillForeignCurrencyTranslationGainLoss,245,6629,27.06,USD
OtherLiabilitiesCurrent,242,20516,84.78,USD
StockIssuedDuringPeriodValueNewIssues,239,8697,36.39,USD
IncomeTaxReconciliationStateAndLocalIncomeTaxes,239,9122,38.17,USD
ContractWithCustomerLiabilityRevenueRecognized,239,9620,40.25,USD
AccruedLiabilitiesCurrent,238,20846,87.59,USD
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,238,19202,80.68,"pure, USD/shares"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,237,4150,17.51,USD
IncreaseDecreaseInAccountsPayable,236,23727,100.54,USD
ShortTermBorrowings,236,13786,58.42,"USD, EUR"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,236,3588,15.2,shares
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,235,18951,80.64,"pure, USD/shares"
IncreaseDecreaseInOtherOperatingAssets,234,19680,84.1,USD
ContractWithCustomerLiabilityCurrent,234,9622,41.12,USD
ProvisionForDoubtfulAccounts,234,13904,59.42,USD
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,234,2617,11.18,USD
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,233,10515,45.13,USD
IncreaseDecreaseInOtherOperatingCapitalNet,232,20575,88.69,USD
IncomeTaxReconciliationOtherAdjustments,232,8327,35.89,USD
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,232,14077,60.68,USD
IncomeLossFromDiscontinuedOperationsNetOfTax,231,18144,78.55,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,231,990,4.29,"shares, pure, USD, CAD"
FinanceLeaseWeightedAverageDiscountRatePercent,231,3354,14.52,"pure, Rate"
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,230,4273,18.58,"USD, EUR"
PaymentsOfDividends,230,18832,81.88,USD
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,230,8375,36.41,USD
FinanceLeaseLiabilityPaymentsDueYearTwo,230,2020,8.78,USD
SalesRevenueNet,230,29961,130.27,USD
FinanceLeaseLiabilityPaymentsDueYearThree,230,2010,8.74,USD
FinanceLeaseLiabilityPaymentsDueYearFour,230,2015,8.76,USD
FinanceLeaseLiabilityPaymentsDue,230,2133,9.27,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,228,3977,17.44,"pure, USD/shares, GBP"
FinanceLeaseLiabilityUndiscountedExcessAmount,228,2118,9.29,USD
OtherAccruedLiabilitiesCurrent,228,13966,61.25,USD
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,228,5420,23.77,USD
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,227,1442,6.35,USD
FinanceLeaseLiabilityPaymentsDueYearFive,227,1678,7.39,USD
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,227,14102,62.12,USD
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,227,5681,25.03,USD
DebtInstrumentFaceAmount,227,3372,14.85,"EUR, USD, GBP, JPY, CAD"
DepreciationAndAmortization,227,23777,104.74,USD
ContractWithCustomerLiability,226,10273,45.46,USD
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,226,21992,97.31,USD
OperatingLeasesRentExpenseNet,225,5341,23.74,USD
WeightedAverageNumberDilutedSharesOutstandingAdjustment,224,24957,111.42,shares
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,224,11035,49.26,USD
ResearchAndDevelopmentExpense,223,26204,117.51,USD
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,223,4351,19.51,USD
FinanceLeaseLiabilityPaymentsDueAfterYearFive,223,1652,7.41,USD
StockRepurchasedDuringPeriodShares,223,5383,24.14,shares
DerivativeFairValueOfDerivativeLiability,222,11838,53.32,"ZAR, USD"
AvailableForSaleSecuritiesDebtSecurities,220,8568,38.95,"USD, TWD"
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,220,3952,17.96,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,220,3665,16.66,shares
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,220,1718,7.81,"Years, Yr, Decimal, years, Number, pure, year, decimal, Year, Y, USD, numberofyears, yr"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,220,3781,17.19,shares
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,219,9725,44.41,USD
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,219,4322,19.74,USD
MinorityInterestDecreaseFromRedemptions,218,4399,20.18,USD
FinanceLeaseRightOfUseAsset,216,3524,16.31,USD
DerivativeFairValueOfDerivativeAsset,216,12042,55.75,USD
FinanceLeasePrincipalPayments,215,4882,22.71,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageRemainingContractualTerm,215,611,2.84,"shares, Years, M, years, pure, year, decimal, Year, Y, USD, months"
PrepaidExpenseAndOtherAssetsCurrent,214,18254,85.3,USD
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,214,2813,13.14,"pure, USD, Rate"
DeferredTaxLiabilitiesUndistributedForeignEarnings,212,3124,14.74,"USD, CAD"
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsOutstandingWeightedAverageRemainingContractualTerm1,211,535,2.54,"Years, M, years, pure, year, Year, Y, USD, yr"
DefinedBenefitPlanFairValueOfPlanAssets,211,3823,18.12,USD
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,211,9223,43.71,USD
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,211,13057,61.88,USD
NetIncomeLossAvailableToCommonStockholdersDiluted,210,15609,74.33,USD
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,210,4567,21.75,shares
PaymentsForRestructuring,210,5999,28.57,USD
StockIssuedDuringPeriodValueAcquisitions,208,2137,10.27,USD
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,208,14993,72.08,USD
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,208,4568,21.96,"pure, Rate"
PaymentsOfDebtIssuanceCosts,208,9265,44.54,USD
NonoperatingIncomeExpense,207,29292,141.51,USD
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,207,4171,20.15,USD
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,207,10180,49.18,USD
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,206,3211,15.59,USD
GainLossOnSaleOfBusiness,206,5770,28.01,USD
FinanceLeaseLiabilityNoncurrent,206,4004,19.44,USD
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,206,5793,28.12,USD
FinanceLeaseLiabilityCurrent,205,3844,18.75,USD
BusinessAcquisitionsProFormaRevenue,205,4080,19.9,USD
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,205,14915,72.76,USD
DerivativeAssets,205,8555,41.73,USD
BusinessCombinationAcquisitionRelatedCosts,205,8279,40.39,USD
